2026-04-26 13:28:55,001 | INFO | TConnector | ✅ TConnector инициализирован. Готов сосать... то есть, работать с Tinkoff API.
2026-04-26 15:29:09,632 | INFO | TConnector | 📥 Кусок [04-27 15:29 - 04-27 15:29]: 236 свечей. Всего: 236
2026-04-26 15:29:09,968 | INFO | TConnector | 📥 Кусок [04-27 15:29 - 04-27 15:29]: 253 свечей. Всего: 489
2026-04-26 15:29:10,317 | INFO | TConnector | 📥 Кусок [04-27 15:29 - 04-26 15:29]: 255 свечей. Всего: 744
2026-04-26 15:29:10,660 | INFO | TConnector | 📥 Кусок [04-26 15:29 - 04-26 15:29]: 256 свечей. Всего: 1000
2026-04-26 15:29:10,998 | INFO | TConnector | 📥 Кусок [04-26 15:29 - 04-26 15:29]: 250 свечей. Всего: 1250
2026-04-26 15:29:11,199 | INFO | TConnector | ✅ Загрузка для OZON завершена. Всего: 1250 свечей
2026-04-26 15:29:13,502 | INFO | TConnector | 🆕 Полная загрузка: глубина 1825 дн. (параметр)
2026-04-26 15:29:13,583 | INFO | TConnector | 📥 Кусок [04-27 15:29 - 04-27 15:29]: 239 свечей. Всего: 239
2026-04-26 15:29:13,915 | INFO | TConnector | 📥 Кусок [04-27 15:29 - 04-27 15:29]: 253 свечей. Всего: 492
2026-04-26 15:29:14,209 | INFO | TConnector | 📥 Кусок [04-27 15:29 - 04-26 15:29]: 255 свечей. Всего: 747
2026-04-26 15:29:14,539 | INFO | TConnector | 📥 Кусок [04-26 15:29 - 04-26 15:29]: 264 свечей. Всего: 1011
2026-04-26 15:29:14,872 | INFO | TConnector | 📥 Кусок [04-26 15:29 - 04-26 15:29]: 327 свечей. Всего: 1338
2026-04-26 15:29:15,074 | INFO | TConnector | ✅ Загрузка для PLZL завершена. Всего: 1338 свечей
2026-04-26 15:29:17,091 | INFO | TConnector | 🆕 Полная загрузка: глубина 1825 дн. (параметр)
2026-04-26 15:29:17,198 | INFO | TConnector | 📥 Кусок [04-27 15:29 - 04-27 15:29]: 237 свечей. Всего: 237
2026-04-26 15:29:17,538 | INFO | TConnector | 📥 Кусок [04-27 15:29 - 04-27 15:29]: 253 свечей. Всего: 490
2026-04-26 15:29:17,866 | INFO | TConnector | 📥 Кусок [04-27 15:29 - 04-26 15:29]: 255 свечей. Всего: 745
2026-04-26 15:29:18,192 | INFO | TConnector | 📥 Кусок [04-26 15:29 - 04-26 15:29]: 257 свечей. Всего: 1002
2026-04-26 15:29:18,552 | INFO | TConnector | 📥 Кусок [04-26 15:29 - 04-26 15:29]: 331 свечей. Всего: 1333
2026-04-26 15:29:18,754 | INFO | TConnector | ✅ Загрузка для MSRS завершена. Всего: 1333 свечей
2026-04-26 15:29:20,702 | INFO | TConnector | 🆕 Полная загрузка: глубина 1825 дн. (параметр)
2026-04-26 15:29:20,776 | INFO | TConnector | 📥 Кусок [04-27 15:29 - 04-27 15:29]: 237 свечей. Всего: 237
2026-04-26 15:29:21,099 | INFO | TConnector | 📥 Кусок [04-27 15:29 - 04-27 15:29]: 253 свечей. Всего: 490
2026-04-26 15:29:21,437 | INFO | TConnector | 📥 Кусок [04-27 15:29 - 04-26 15:29]: 255 свечей. Всего: 745
2026-04-26 15:29:21,763 | INFO | TConnector | 📥 Кусок [04-26 15:29 - 04-26 15:29]: 257 свечей. Всего: 1002
2026-04-26 15:29:22,116 | INFO | TConnector | 📥 Кусок [04-26 15:29 - 04-26 15:29]: 330 свечей. Всего: 1332
2026-04-26 15:29:22,318 | INFO | TConnector | ✅ Загрузка для MRKU завершена. Всего: 1332 свечей
2026-04-26 15:29:24,552 | INFO | TConnector | 🆕 Полная загрузка: глубина 1825 дн. (параметр)
2026-04-26 15:29:24,681 | INFO | TConnector | 📥 Кусок [04-27 15:29 - 04-27 15:29]: 236 свечей. Всего: 236
2026-04-26 15:29:24,978 | INFO | TConnector | 📥 Кусок [04-27 15:29 - 04-27 15:29]: 253 свечей. Всего: 489
2026-04-26 15:29:25,299 | INFO | TConnector | 📥 Кусок [04-27 15:29 - 04-26 15:29]: 232 свечей. Всего: 721
2026-04-26 15:29:25,629 | INFO | TConnector | 📥 Кусок [04-26 15:29 - 04-26 15:29]: 267 свечей. Всего: 988
2026-04-26 15:29:25,975 | INFO | TConnector | 📥 Кусок [04-26 15:29 - 04-26 15:29]: 331 свечей. Всего: 1319
2026-04-26 15:29:26,176 | INFO | TConnector | ✅ Загрузка для VKCO завершена. Всего: 1319 свечей
2026-04-26 15:29:28,163 | INFO | TConnector | 🆕 Полная загрузка: глубина 1825 дн. (параметр)
2026-04-26 15:29:28,260 | INFO | TConnector | 📥 Кусок [04-27 15:29 - 04-27 15:29]: 239 свечей. Всего: 239
2026-04-26 15:29:28,600 | INFO | TConnector | 📥 Кусок [04-27 15:29 - 04-27 15:29]: 253 свечей. Всего: 492
2026-04-26 15:29:28,930 | INFO | TConnector | 📥 Кусок [04-27 15:29 - 04-26 15:29]: 255 свечей. Всего: 747
2026-04-26 15:29:29,269 | INFO | TConnector | 📥 Кусок [04-26 15:29 - 04-26 15:29]: 267 свечей. Всего: 1014
2026-04-26 15:29:29,613 | INFO | TConnector | 📥 Кусок [04-26 15:29 - 04-26 15:29]: 331 свечей. Всего: 1345
2026-04-26 15:29:29,814 | INFO | TConnector | ✅ Загрузка для ROSN завершена. Всего: 1345 свечей
2026-04-26 15:29:31,978 | INFO | TConnector | 🆕 Полная загрузка: глубина 1825 дн. (параметр)
2026-04-26 15:29:32,112 | INFO | TConnector | 📥 Кусок [04-27 15:29 - 04-27 15:29]: 237 свечей. Всего: 237
2026-04-26 15:29:32,442 | INFO | TConnector | 📥 Кусок [04-27 15:29 - 04-27 15:29]: 253 свечей. Всего: 490
2026-04-26 15:29:32,735 | INFO | TConnector | 📥 Кусок [04-27 15:29 - 04-26 15:29]: 255 свечей. Всего: 745
2026-04-26 15:29:33,043 | INFO | TConnector | 📥 Кусок [04-26 15:29 - 04-26 15:29]: 259 свечей. Всего: 1004
2026-04-26 15:29:33,387 | INFO | TConnector | 📥 Кусок [04-26 15:29 - 04-26 15:29]: 329 свечей. Всего: 1333
2026-04-26 15:29:33,589 | INFO | TConnector | ✅ Загрузка для BELU завершена. Всего: 1333 свечей
2026-04-26 15:29:35,561 | INFO | TConnector | 🆕 Полная загрузка: глубина 1825 дн. (параметр)
2026-04-26 15:29:35,676 | INFO | TConnector | 📥 Кусок [04-27 15:29 - 04-27 15:29]: 239 свечей. Всего: 239
2026-04-26 15:29:36,008 | INFO | TConnector | 📥 Кусок [04-27 15:29 - 04-27 15:29]: 253 свечей. Всего: 492
2026-04-26 15:29:36,337 | INFO | TConnector | 📥 Кусок [04-27 15:29 - 04-26 15:29]: 255 свечей. Всего: 747
2026-04-26 15:29:36,675 | INFO | TConnector | 📥 Кусок [04-26 15:29 - 04-26 15:29]: 267 свечей. Всего: 1014
2026-04-26 15:29:37,012 | INFO | TConnector | 📥 Кусок [04-26 15:29 - 04-26 15:29]: 329 свечей. Всего: 1343
2026-04-26 15:29:37,213 | INFO | TConnector | ✅ Загрузка для IRAO завершена. Всего: 1343 свечей
2026-04-26 15:33:47,321 | INFO | TConnector | 🆕 Полная загрузка: глубина 1825 дн. (параметр)
2026-04-26 15:33:47,411 | INFO | TConnector | 📥 Кусок [04-27 15:33 - 04-27 15:33]: 239 свечей. Всего: 239
2026-04-26 15:33:47,716 | INFO | TConnector | 📥 Кусок [04-27 15:33 - 04-27 15:33]: 253 свечей. Всего: 492
2026-04-26 15:33:48,048 | INFO | TConnector | 📥 Кусок [04-27 15:33 - 04-26 15:33]: 255 свечей. Всего: 747
2026-04-26 15:33:48,388 | INFO | TConnector | 📥 Кусок [04-26 15:33 - 04-26 15:33]: 267 свечей. Всего: 1014
2026-04-26 15:33:48,709 | INFO | TConnector | 📥 Кусок [04-26 15:33 - 04-26 15:33]: 329 свечей. Всего: 1343
2026-04-26 15:33:48,911 | INFO | TConnector | ✅ Загрузка для IRAO завершена. Всего: 1343 свечей
2026-04-26 15:36:35,329 | INFO | TConnector | 🆕 Полная загрузка: глубина 1825 дн. (параметр)
2026-04-26 15:36:35,422 | INFO | TConnector | 📥 Кусок [04-27 15:36 - 04-27 15:36]: 239 свечей. Всего: 239
