min_pullback,hard_stop,cooldown_bars,std_pct_filter,period,0
0.01,0.05,7,0.04000000000000001,70,0.5862799354971298
0.01,0.05,7,0.04000000000000001,80,0.5862799354971298
0.01,0.05,7,0.04000000000000001,90,0.5862799354971298
0.01,0.05,7,0.045000000000000005,10,0.10505744877142359
0.01,0.05,7,0.045000000000000005,20,0.10505744877142359
0.01,0.05,7,0.045000000000000005,30,0.10505744877142359
0.01,0.05,7,0.045000000000000005,40,0.10505744877142359
0.01,0.05,7,0.045000000000000005,50,0.10505744877142359
0.01,0.05,7,0.045000000000000005,60,0.10505744877142359
0.01,0.05,7,0.045000000000000005,70,0.10505744877142359
0.01,0.05,7,0.045000000000000005,80,0.10505744877142359
0.01,0.05,7,0.045000000000000005,90,0.10505744877142359
0.01,0.05,7,0.05,10,0.3313045209088567
0.01,0.05,7,0.05,20,0.3313045209088567
0.01,0.05,7,0.05,30,0.3313045209088567
0.01,0.05,7,0.05,40,0.3313045209088567
0.01,0.05,7,0.05,50,0.3313045209088567
0.01,0.05,7,0.05,60,0.3313045209088567
0.01,0.05,7,0.05,70,0.3313045209088567
0.01,0.05,7,0.05,80,0.3313045209088567
0.01,0.05,7,0.05,90,0.3313045209088567
0.01,0.05,8,0.015,10,-0.22514973340492483
0.01,0.05,8,0.015,20,-0.22514973340492483
0.01,0.05,8,0.015,30,-0.22514973340492483
0.01,0.05,8,0.015,40,-0.22514973340492483
0.01,0.05,8,0.015,50,-0.22514973340492483
0.01,0.05,8,0.015,60,-0.22514973340492483
0.01,0.05,8,0.015,70,-0.22514973340492483
0.01,0.05,8,0.015,80,-0.22514973340492483
0.01,0.05,8,0.015,90,-0.22514973340492483
0.01,0.05,8,0.02,10,-0.06830773147624626
0.01,0.05,8,0.02,20,-0.06830773147624626
0.01,0.05,8,0.02,30,-0.06830773147624626
0.01,0.05,8,0.02,40,-0.06830773147624626
0.01,0.05,8,0.02,50,-0.06830773147624626
0.01,0.05,8,0.02,60,-0.06830773147624626
0.01,0.05,8,0.02,70,-0.06830773147624626
0.01,0.05,8,0.02,80,-0.06830773147624626
0.01,0.05,8,0.02,90,-0.06830773147624626
0.01,0.05,8,0.025,10,-0.4057964547164136
0.01,0.05,8,0.025,20,-0.4057964547164136
0.01,0.05,8,0.025,30,-0.4057964547164136
0.01,0.05,8,0.025,40,-0.4057964547164136
0.01,0.05,8,0.025,50,-0.4057964547164136
0.01,0.05,8,0.025,60,-0.4057964547164136
0.01,0.05,8,0.025,70,-0.4057964547164136
0.01,0.05,8,0.025,80,-0.4057964547164136
0.01,0.05,8,0.025,90,-0.4057964547164136
0.01,0.05,8,0.030000000000000002,10,-0.45556588555793925
0.01,0.05,8,0.030000000000000002,20,-0.45556588555793925
0.01,0.05,8,0.030000000000000002,30,-0.45556588555793925
0.01,0.05,8,0.030000000000000002,40,-0.45556588555793925
0.01,0.05,8,0.030000000000000002,50,-0.45556588555793925
0.01,0.05,8,0.030000000000000002,60,-0.45556588555793925
0.01,0.05,8,0.030000000000000002,70,-0.45556588555793925
0.01,0.05,8,0.030000000000000002,80,-0.45556588555793925
0.01,0.05,8,0.030000000000000002,90,-0.45556588555793925
0.01,0.05,8,0.035,10,-0.4132771891732104
0.01,0.05,8,0.035,20,-0.4132771891732104
0.01,0.05,8,0.035,30,-0.4132771891732104
0.01,0.05,8,0.035,40,-0.4132771891732104
0.01,0.05,8,0.035,50,-0.4132771891732104
0.01,0.05,8,0.035,60,-0.4132771891732104
0.01,0.05,8,0.035,70,-0.4132771891732104
0.01,0.05,8,0.035,80,-0.4132771891732104
0.01,0.05,8,0.035,90,-0.4132771891732104
0.01,0.05,8,0.04000000000000001,10,0.6510558160779013
0.01,0.05,8,0.04000000000000001,20,0.6510558160779013
0.01,0.05,8,0.04000000000000001,30,0.6510558160779013
0.01,0.05,8,0.04000000000000001,40,0.6510558160779013
0.01,0.05,8,0.04000000000000001,50,0.6510558160779013
0.01,0.05,8,0.04000000000000001,60,0.6510558160779013
0.01,0.05,8,0.04000000000000001,70,0.6510558160779013
0.01,0.05,8,0.04000000000000001,80,0.6510558160779013
0.01,0.05,8,0.04000000000000001,90,0.6510558160779013
0.01,0.05,8,0.045000000000000005,10,0.13938409872454388
0.01,0.05,8,0.045000000000000005,20,0.13938409872454388
0.01,0.05,8,0.045000000000000005,30,0.13938409872454388
0.01,0.05,8,0.045000000000000005,40,0.13938409872454388
0.01,0.05,8,0.045000000000000005,50,0.13938409872454388
0.01,0.05,8,0.045000000000000005,60,0.13938409872454388
0.01,0.05,8,0.045000000000000005,70,0.13938409872454388
0.01,0.05,8,0.045000000000000005,80,0.13938409872454388
0.01,0.05,8,0.045000000000000005,90,0.13938409872454388
0.01,0.05,8,0.05,10,0.15956954987340766
0.01,0.05,8,0.05,20,0.15956954987340766
0.01,0.05,8,0.05,30,0.15956954987340766
0.01,0.05,8,0.05,40,0.15956954987340766
0.01,0.05,8,0.05,50,0.15956954987340766
0.01,0.05,8,0.05,60,0.15956954987340766
0.01,0.05,8,0.05,70,0.15956954987340766
0.01,0.05,8,0.05,80,0.15956954987340766
